Date,Series,Open,High,Low,Prev Close,ltp,Close,VWAP,52WH,52WL,Volume,Value,No.of Traders
31-Dec-24,EQ,"1,062.00","1,070.45","1,058.50","1,069.95","1,068.00","1,064.70","1,064.48","1,339.65",995.7,"52,92,136","5,63,33,87,060.50","1,61,817"
30-Dec-24,EQ,"1,074.10","1,096.50","1,063.95","1,077.45","1,070.00","1,069.95","1,075.16","1,339.65",995.7,"94,52,155","10,16,25,55,228.40","1,72,968"
27-Dec-24,EQ,"1,078.10","1,086.25","1,076.00","1,076.70","1,078.20","1,077.45","1,080.19","1,339.65",995.7,"38,01,667","4,10,65,08,621.15","1,13,788"
26-Dec-24,EQ,"1,083.00","1,092.60","1,072.75","1,078.90","1,077.25","1,076.70","1,078.34","1,339.65",995.7,"47,75,460","5,14,95,74,877.30","1,19,071"
24-Dec-24,EQ,"1,077.30","1,084.75","1,076.00","1,079.15","1,081.90","1,078.90","1,080.42","1,339.65",995.7,"43,43,694","4,69,30,16,607.75","1,28,592"
23-Dec-24,EQ,"1,075.10","1,083.55","1,072.40","1,071.85","1,077.00","1,079.15","1,078.51","1,339.65",995.7,"38,86,921","4,19,20,85,929.05","1,32,669"
20-Dec-24,EQ,"1,103.95","1,105.85","1,065.00","1,108.90","1,070.00","1,071.85","1,081.98","1,339.65",995.7,"1,26,23,056","13,65,79,02,420.55","2,59,785"
19-Dec-24,EQ,"1,104.90","1,119.05","1,101.05","1,122.25","1,110.75","1,108.90","1,109.36","1,339.65",995.7,"1,16,77,610","12,95,46,24,207.55","2,25,005"
18-Dec-24,EQ,"1,136.20","1,139.90","1,115.95","1,136.25","1,123.50","1,122.25","1,124.97","1,339.65",995.7,"72,22,127","8,12,47,10,986.15","2,05,675"
17-Dec-24,EQ,"1,145.25","1,151.85","1,130.00","1,150.90","1,134.80","1,136.25","1,138.96","1,339.65",995.7,"72,92,817","8,30,62,22,760.00","1,70,342"
16-Dec-24,EQ,"1,146.50","1,155.00","1,141.75","1,148.15","1,148.00","1,150.90","1,149.03","1,339.65",995.7,"39,75,202","4,56,76,25,457.70","90,921"
13-Dec-24,EQ,"1,141.00","1,152.70","1,113.65","1,145.65","1,151.90","1,148.15","1,136.01","1,339.65",995.7,"87,31,618","9,91,91,84,165.70","1,92,015"
12-Dec-24,EQ,"1,145.00","1,154.55","1,143.60","1,147.25","1,145.00","1,145.65","1,149.13","1,339.65",995.7,"48,25,283","5,54,48,97,041.55","1,44,279"
11-Dec-24,EQ,"1,150.00","1,158.35","1,144.55","1,153.65","1,147.00","1,147.25","1,152.07","1,339.65",995.7,"77,88,242","8,97,25,83,839.45","1,85,882"
10-Dec-24,EQ,"1,157.00","1,165.05","1,151.25","1,163.25","1,155.00","1,153.65","1,156.40","1,339.65",995.7,"47,14,389","5,45,17,18,848.25","1,77,982"
9-Dec-24,EQ,"1,184.25","1,186.00","1,161.00","1,184.55","1,167.90","1,163.25","1,170.80","1,339.65",995.7,"63,08,112","7,38,55,08,325.10","1,91,881"
6-Dec-24,EQ,"1,167.50","1,193.85","1,160.00","1,166.40","1,183.90","1,184.55","1,183.30","1,339.65",995.7,"75,42,210","8,92,46,81,425.80","1,72,308"
5-Dec-24,EQ,"1,164.00","1,176.90","1,150.10","1,159.45","1,168.50","1,166.40","1,166.20","1,339.65",995.7,"1,06,40,451","12,40,88,50,465.30","2,64,133"
4-Dec-24,EQ,"1,157.50","1,168.00","1,153.90","1,160.50","1,158.75","1,159.45","1,158.67","1,339.65",995.7,"1,83,79,798","21,29,61,77,515.45","1,83,298"
3-Dec-24,EQ,"1,144.40","1,164.90","1,138.00","1,137.10","1,161.00","1,160.50","1,156.52","1,339.65",995.7,"83,82,042","9,69,39,60,807.10","2,06,150"
2-Dec-24,EQ,"1,132.70","1,141.40","1,126.60","1,136.30","1,136.35","1,137.10","1,133.73","1,339.65",995.7,"47,85,858","5,42,58,53,341.75","1,25,708"
29-Nov-24,EQ,"1,133.55","1,140.90","1,127.70","1,132.50","1,137.00","1,136.30","1,135.67","1,339.65",995.7,"64,06,277","7,27,53,87,402.10","1,33,772"
28-Nov-24,EQ,"1,148.50","1,154.45","1,129.40","1,149.65","1,135.00","1,132.50","1,139.36","1,339.65",995.7,"1,07,31,275","12,22,67,50,821.65","2,11,822"
27-Nov-24,EQ,"1,145.20","1,155.45","1,133.55","1,144.80","1,151.00","1,149.65","1,146.57","1,339.65",995.7,"59,89,943","6,86,79,13,333.05","1,52,024"
26-Nov-24,EQ,"1,157.10","1,159.60","1,142.65","1,155.90","1,143.30","1,144.80","1,147.29","1,339.65",995.7,"51,27,437","5,88,26,72,288.85","1,50,905"
25-Nov-24,EQ,"1,160.00","1,164.50","1,142.00","1,142.40","1,156.70","1,155.90","1,155.03","1,339.65",995.7,"1,23,85,823","14,30,60,27,187.70","1,82,859"
22-Nov-24,EQ,"1,136.65","1,147.90","1,127.55","1,139.15","1,141.80","1,142.40","1,135.51","1,339.65",980.35,"1,66,87,505","18,94,88,68,769.25","1,93,290"
21-Nov-24,EQ,"1,138.00","1,152.00","1,115.75","1,133.95","1,143.50","1,139.15","1,136.70","1,339.65",980.35,"81,26,248","9,23,71,18,686.80","2,31,458"
19-Nov-24,EQ,"1,130.00","1,139.00","1,122.05","1,126.20","1,133.45","1,133.95","1,129.17","1,339.65",980.35,"1,92,25,966","21,70,93,08,849.05","1,82,241"
18-Nov-24,EQ,"1,131.20","1,135.00","1,121.55","1,140.70","1,125.45","1,126.20","1,126.29","1,339.65",980.35,"94,74,971","10,67,15,59,722.60","2,96,779"
14-Nov-24,EQ,"1,137.55","1,150.75","1,131.60","1,139.15","1,140.00","1,140.70","1,140.75","1,339.65",980.35,"59,75,873","6,81,69,64,756.50","1,98,141"
13-Nov-24,EQ,"1,151.90","1,165.50","1,135.10","1,158.15","1,142.35","1,139.15","1,146.87","1,339.65",980.35,"80,79,113","9,26,56,87,388.30","1,94,201"
12-Nov-24,EQ,"1,171.65","1,187.00","1,153.80","1,171.00","1,156.95","1,158.15","1,167.09","1,339.65",980.35,"96,06,088","11,21,11,23,906.70","1,85,151"
11-Nov-24,EQ,"1,152.00","1,176.80","1,142.95","1,160.95","1,169.00","1,171.00","1,164.66","1,339.65",980.35,"66,20,678","7,71,08,08,831.30","1,70,071"
8-Nov-24,EQ,"1,156.00","1,167.75","1,151.10","1,159.90","1,161.40","1,160.95","1,160.41","1,339.65",980.35,"37,86,168","4,39,34,91,687.50","1,28,235"
7-Nov-24,EQ,"1,168.60","1,172.90","1,151.05","1,166.50","1,160.45","1,159.90","1,158.93","1,339.65",980.35,"62,52,889","7,24,66,54,842.35","1,15,427"
6-Nov-24,EQ,"1,171.80","1,183.55","1,161.45","1,171.70","1,169.00","1,166.50","1,171.86","1,339.65",980.35,"1,03,53,506","12,13,28,51,140.85","1,99,551"
5-Nov-24,EQ,"1,138.95","1,174.90","1,133.45","1,139.25","1,170.15","1,171.70","1,155.00","1,339.65",980.35,"1,17,01,049","13,51,47,27,894.20","2,00,551"
4-Nov-24,EQ,"1,172.00","1,176.95","1,135.45","1,169.55","1,143.65","1,139.25","1,145.67","1,339.65",980.35,"92,88,653","10,64,17,70,470.00","2,03,455"
1-Nov-24,EQ,"1,164.05","1,172.50","1,164.00","1,159.55","1,169.40","1,169.55","1,170.07","1,339.65",968,"4,60,781","53,91,43,760.50","16,890"
31-Oct-24,EQ,"1,165.50","1,178.00","1,153.85","1,170.40","1,167.00","1,159.55","1,163.31","1,339.65",968,"86,82,294","10,10,01,93,551.20","1,91,979"
30-Oct-24,EQ,"1,178.75","1,187.65","1,164.30","1,186.85","1,172.00","1,170.40","1,171.69","1,339.65",968,"96,86,560","11,34,96,18,006.60","1,86,687"
29-Oct-24,EQ,"1,176.40","1,191.20","1,157.60","1,171.60","1,183.35","1,186.85","1,179.24","1,339.65",968,"99,08,946","11,68,50,24,900.55","2,24,353"
28-Oct-24,EQ,"1,194.00","1,194.00","1,167.05","1,189.35","1,174.00","1,171.60","1,177.69","1,339.65",968,"85,72,243","10,09,54,25,231.55","2,63,932"
25-Oct-24,EQ,"1,187.00","1,201.75","1,170.00","1,167.35","1,189.00","1,189.35","1,182.18","1,339.65",951.4,"1,27,98,716","15,13,04,05,132.90","2,91,497"
24-Oct-24,EQ,"1,165.00","1,175.20","1,154.65","1,160.40","1,167.00","1,167.35","1,165.52","1,339.65",951.4,"50,46,700","5,88,20,50,589.60","1,34,482"
23-Oct-24,EQ,"1,175.10","1,183.15","1,158.65","1,175.75","1,161.50","1,160.40","1,165.58","1,339.65",951.4,"65,01,834","7,57,83,88,501.30","1,26,462"
22-Oct-24,EQ,"1,194.25","1,198.00","1,173.35","1,190.30","1,177.00","1,175.75","1,183.75","1,339.65",951.4,"72,56,246","8,58,95,64,115.60","2,07,796"
21-Oct-24,EQ,"1,196.85","1,214.80","1,185.55","1,196.85","1,189.00","1,190.30","1,197.22","1,339.65",951.4,"74,56,038","8,92,65,49,422.95","1,81,753"
18-Oct-24,EQ,"1,158.00","1,203.85","1,156.05","1,131.85","1,196.95","1,196.85","1,185.61","1,339.65",951.4,"2,08,29,666","24,69,59,40,613.15","3,93,521"
17-Oct-24,EQ,"1,151.00","1,151.35","1,124.00","1,153.20","1,131.00","1,131.85","1,134.23","1,339.65",951.4,"65,95,231","7,48,05,40,491.80","2,05,556"
